"timestamp","venue","description","category","eventtype","laps","sprints"
"2012-10-12 19.08.43","BVCTrack","Elimination to scratch","AGroup","Elimination",3,0
"2012-10-12 18.12.18","BVCTrack","25 Lap Scratch","AGroup","Scratch",25,0
"2012-10-12 18.12.18","BVCTrack",4x10 Points","AGroup","Points",10,4
